,balance,equity
0,99998.328719792,100000.0
60,100046.115371934,99956.49248979201
120,100046.115371934,100080.060971934
180,100046.115371934,100105.169181934
240,100046.115371934,100094.63525193401
300,100046.115371934,100140.55853193402
360,100046.115371934,100107.215041934
420,100046.115371934,100111.75675193401
480,100046.115371934,100089.101581934
540,100093.87756214601,100098.01341193401
600,100093.87756214601,100177.022362146
660,100093.87756214601,100102.31184214601
720,100141.780959166,100161.31764214604
780,100141.780959166,100073.877299166
840,100141.780959166,100058.47757916599
900,100141.780959166,100022.684939166
960,100141.780959166,100072.718779166
1020,100141.780959166,100159.030369166
1080,100141.780959166,100122.524939166
1140,100141.780959166,100130.643329166
1200,100141.780959166,100153.78290916601
1260,100141.780959166,100144.318139166
1320,100141.780959166,100156.48566916602
1380,100141.780959166,100141.29281916602
1440,100141.780959166,100167.23039916599
1500,100189.920953796,100195.83620916601
1560,100189.920953796,100247.501923796
1620,100237.744510076,100257.707893796
1680,100237.744510076,100269.754170076
1740,100285.88690913998,100288.816230076
1800,100333.94648931398,100344.71867913999
1860,100333.94648931398,100386.85996931397
1920,100333.94648931398,100350.75480931398
1980,100382.03406552998,100349.02471931401
2040,100382.03406552998,100426.28209552998
2100,100477.63464933599,100392.11905552998
2160,100477.63464933599,100469.09805933599
2220,100573.91986509599,100477.57149933599
2280,100573.91986509599,100560.62755509598
2340,100573.91986509599,100432.02553509599
2400,100573.32862089599,100444.82206509598
2460,100573.32862089599,100442.191120896
2520,100573.32862089599,100433.491810896
2580,100668.98505582399,100562.67664089598
2640,100799.74801985799,100757.53133582398
2700,100847.68742499799,100782.05564985798
2760,100847.68742499799,100833.032254998
2820,100944.48352064399,100759.44408499797
2880,100992.938665786,100895.96281064398
2940,101089.359354496,101063.23013578601
3000,101089.359354496,101061.673814496
3060,101089.359354496,101016.248204496
3120,101089.359354496,100938.78125449599
3180,101089.359354496,100942.29849449602
3240,101089.359354496,100921.29502449601
3300,101088.765054736,100843.605704496
3360,101088.765054736,100937.099674736
3420,101088.765054736,100965.724394736
3480,101088.765054736,100989.52670473601
3540,101268.22734688199,101105.516474736
3600,101268.22734688199,101113.438646882
3660,101268.22734688199,100957.35852688199
3720,101268.22734688199,100986.76910688197
3780,101268.22734688199,100962.09987688198
3840,101268.22734688199,101025.533816882
3900,101268.22734688199,101078.08483688199
3960,101316.41842347199,101053.68704688198
4020,101413.16361330198,101123.54411347199
4080,101461.55294584397,101278.43506330198
4140,101461.55294584397,101256.02601584396
4200,101656.13997717995,101304.04060584397
4260,101656.13997717995,101494.89868717996
4320,101704.81124421995,101457.25871717995
4380,101801.84087031193,101555.99695421995
4440,101801.84087031193,101715.61324031196
4500,101947.98172741193,101632.52748031192
4560,102190.92332863992,101822.11056741193
4620,102386.30411007591,102095.10175863992
4680,102631.0763313179,102278.58688007592
4740,102778.0913926379,102563.0340813179
4800,102826.5695323559,102729.35183263791
4860,102826.5695323559,102665.4198423559
4920,102826.5695323559,102502.32483235592
4980,109862.33477123387,102455.3061623559
5040,109862.33477123387,109848.30561123388
5100,109862.33477123387,109880.84302123387
5160,109862.33477123387,109644.88469123388
5220,109862.33477123387,109680.86442123387
5280,109862.33477123387,109757.64033123388
5340,109862.33477123387,109851.12796123388
5400,110072.55206787988,109860.95444123389
5460,110230.21906426988,110060.26331787989
5520,110282.87498470988,110195.26218426987
5580,110332.52982236189,110290.32303470987
5640,110516.9710428439,110302.95685236188
5700,110516.3227022439,110340.2159228439
5760,110569.4590209519,110495.5710622439
5820,110817.13948721389,110758.87773645588
5880,110816.4887772939,110694.50010721388
5940,110816.4887772939,110515.2624372939
6000,111103.1004395739,110928.95737729387
6060,111156.2316843459,111010.36946957388
6120,111262.5199936339,111061.78661434591
6180,111262.5199936339,111112.9295336339
6240,111261.86581851791,110921.34437363391
6300,111261.86581851791,110953.5757385179
6360,111261.86581851791,111044.07733851792
6420,111261.86581851791,110829.29210851791
6480,111725.57260942592,111114.3912885179
6540,111832.21236953791,111622.24675942592
6600,112085.59127394993,111663.75222884191
6660,112085.21669502993,112021.09010394994
6720,112192.23503892994,112001.87896502993
6780,112244.94321245194,112142.49311892994
6840,112492.77170984792,112242.00850245194
6900,112599.50322263391,112329.36685984791
6960,112744.7105467459,112447.6489526339
7020,112744.7105467459,112586.06313674588
7080,112852.3725653759,112549.76784674592
7140,112852.3725653759,112701.3216153759
7200,112960.7436541759,112753.2938953759
7260,113068.0472985259,112905.1562641759
7320,113067.6694370059,112996.7101485259
7380,113067.6694370059,112838.0280770059
7440,113067.6694370059,112841.79376700589
7500,113120.2307210359,112965.79136700589
7560,113718.83056013988,112845.6910710359
7620,113881.69018009587,113765.10002013987
7680,113935.70271813987,113798.12625932788
7740,113935.70271813987,113769.73671813987
7800,114044.50889123186,113654.69613813987
7860,114190.50709415185,113730.49928123187
7920,114190.50709415185,113765.76682415185
7980,114245.06528408785,113968.85119415187
8040,114243.21895448785,113861.33518408785
8100,114624.95030737185,113454.97029448784
8160,114679.80979241585,114271.90931737186
8220,114679.80979241585,114289.45246241585
8280,114679.80979241585,114321.44936241585
8340,114679.80979241585,114308.38284241584
8400,114679.14082783984,114360.86894241585
8460,114678.47029968385,114143.34469783986
8520,114677.79858966384,114132.95937968385
8580,114677.12432100384,113925.31617966385
8640,114825.74851375584,113847.15474100385
8700,114825.74851375584,114211.57673375584
8760,114825.74851375584,114202.29102375584
8820,114825.74851375584,114113.71238375585
8880,114880.57679716784,114178.93094375584
8940,114880.57679716784,114371.54803716786
9000,115045.27254476784,114416.29686716785
9060,115100.35123540784,114440.04227360785
9120,115100.35123540784,114485.77252540783
9180,115357.14772622584,114145.56657540784
9240,115357.14772622584,114607.75991622586
9300,115357.14772622584,114432.66459622583
9360,115522.75547074784,114375.78091622585
9420,115522.75547074784,114942.33734074785
9480,115633.22904008384,114753.05973074783
9540,116127.35880163383,115118.55930008386
9600,116293.32492883583,115736.36045163382
9660,116292.64130533584,115864.48659883584
9720,116290.75693879584,115714.65713533584
9780,116290.75693879584,114996.82061879586
9840,116679.99729075583,115352.27895879585
9900,116735.65559955583,116028.89990075582
9960,116791.47125677184,116291.09157955582
10020,116791.47125677184,116252.50451677183
10080,116791.47125677184,116342.23253677184
10140,116791.47125677184,116331.99091677184
10200,116847.23677989985,116294.82712677184
10260,116847.23677989985,116409.04216989985
10320,116958.92922725985,116416.67706989984
10380,117070.68298151984,116650.53803725987
10440,117126.96008341985,116846.13066151984
10500,117274.54552598986,116847.28580341986
10560,117274.54552598986,116932.62601598985
10620,117425.67128562985,116791.97373598987
10680,117537.77987110385,117046.52167562985
10740,117650.03651860185,117205.95790110383
10800,117650.03651860185,117406.23266860185
10860,117706.27330118185,117328.04955860185
10920,117706.27330118185,117235.52080118185
10980,117705.58117782185,117365.44750118186
11040,117705.58117782185,117266.75817782184
11100,117705.58117782185,117450.83654782185
11160,117705.58117782185,117460.19029782186
11220,117705.58117782185,117198.46881782185
11280,117705.58117782185,117345.58641782185
11340,117852.81939384785,117665.07477782185
11400,117852.81939384785,117731.56542384785
11460,118061.61177597585,117655.06525384785
11520,118061.61177597585,117952.39266597583
11580,118061.61177597585,118035.73261597585
11640,118061.61177597585,117948.40466597585
11700,118061.61177597585,117872.75748597585
11760,118117.74562525384,117998.53729597584
11820,118117.74562525384,117983.43724525384
11880,118174.20629471383,117987.26515525384
11940,118174.20629471383,118144.60149471383
12000,118230.68450221383,118231.11660471384
12060,118397.27892239984,118215.92785637383
12120,118453.67704478985,118248.53777239984
12180,118453.67704478985,118355.60782478983
12240,118453.67704478985,118241.16863478984
12300,118453.67704478985,118249.54287478984
12360,118452.98064182984,118315.49265478985
12420,118452.98064182984,118164.33349182985
12480,118443.44430575181,118028.47740182983
12540,118835.25049117365,115309.66789188983
12600,119820.68039562182,117077.41372549183
12660,119877.93517810982,119624.78503562183
12720,119877.93517810982,119650.79898810982
12780,119877.23036252982,119529.17041810982
12840,119877.23036252982,119657.71032252982
12900,119873.36836129583,119351.92302252982
12960,119873.36836129583,119301.55461129584
13020,120275.10425292583,119613.40976129584
13080,120275.10425292583,119986.26023292582
13140,120275.10425292583,119757.92866292583
13200,120275.10425292583,119984.51747292583
13260,120332.65848700583,120065.27559292583
13320,120332.65848700583,120367.9776670058
13380,120332.65848700583,120044.02970700583
13440,120330.00080122582,119930.25793700584
13500,120329.30498765782,119480.70129122582
13560,120329.30498765782,118960.05350765782
13620,120732.9623766378,119975.71244765782
13680,120848.42086427781,120237.3535266378
13740,120848.42086427781,120635.66617427781
13800,120848.42086427781,120586.31086427782
13860,120906.18353133781,120704.28811427782
13920,120906.18353133781,120879.6871013378
13980,120906.18353133781,120842.63521133782
14040,120906.18353133781,120684.73057133783
14100,120906.18353133781,120969.41732133782
14160,121419.56391248183,121085.11329103782
14220,121477.60074289983,121502.03441248182
14280,121477.60074289983,121442.15239289985
14340,121477.60074289983,121579.44104289982
14400,121593.37898214783,121485.59750289984
14460,121648.99976441782,121431.07041214782
14520,131895.4053075538,121562.26056441783
14580,132082.31914125182,131754.86921755382
14640,132082.31914125182,132045.79813125182
14700,132081.5434146918,131845.23301125184
14760,132081.5434146918,131898.1045246918
14820,132252.4950890738,131716.85080469184
14880,132251.7176586338,131474.04579907385
14940,132423.1159675138,131944.99013863382
15000,132422.6732860558,132169.10302605582
15060,132485.89229507578,132186.4667360558
15120,132485.89229507578,132325.6335850758
15180,132485.89229507578,132115.6808650758
15240,132485.89229507578,131811.7352350758
15300,132485.1131782758,131539.47023507577
15360,132485.1131782758,131671.91081827582
15420,132485.1131782758,131841.17465827582
15480,132483.56040630979,131052.81486163582
15540,132483.56040630979,130975.68428630978
15600,132483.56040630979,131155.68934630978
15660,132483.56040630979,131157.68183630978
15720,132483.56040630979,131550.9914363098
15780,132483.56040630979,131733.09387630978
15840,132655.3291410018,131809.77953630977
15900,132718.6209972358,132293.2040210018
15960,132782.06576638581,132563.62931723578
16020,132953.0305303698,132848.6656063858
16080,132953.0305303698,132728.5528603698
16140,133016.48496373382,132627.9676203698
16200,133016.48496373382,132857.65381373386
16260,133016.48496373382,132871.39623373386
16320,133016.48496373382,133296.35269373382
16380,133080.06484969181,133209.3567237338
16440,133080.06484969181,133056.97306969177
16500,133080.06484969181,132901.54064969183
16560,133080.06484969181,132544.75090969185
16620,133080.06484969181,132742.4650896918
16680,133079.28254313182,132836.5237496918
16740,133079.28254313182,132452.39541313183
16800,133077.1260751518,132077.40384313182
16860,133077.1260751518,131383.8351351518
16920,133077.1260751518,131153.08291515178
16980,133077.1260751518,132405.1855651518
17040,133077.1260751518,132380.16189515183
17100,133077.1260751518,132002.22693515185
