,balance,equity
0,999.9505533579999,1000.0
60,999.9707255379999,999.7792733579998
120,999.9707255379999,1001.0786055379998
180,999.9707255379999,999.7601555379998
240,1000.0228654699999,997.6450355379999
300,1000.0228654699999,997.5864754699999
360,1000.0228654699999,997.0965054699999
420,1000.0228654699999,999.20067547
480,1000.0228654699999,999.73021547
540,1000.0228654699999,999.8811654699999
600,1000.0228654699999,1000.5587754699999
660,1000.0228654699999,1001.46226547
720,1000.0228654699999,1002.10292547
780,1000.0228654699999,1002.3580954699999
840,1000.0228654699999,1002.9148054699999
900,1000.0228654699999,1001.8392554699998
960,1000.0228654699999,1004.7165954699999
1020,1000.0228654699999,1003.9895754699997
1080,1000.0228654699999,1004.71610547
1140,1000.0228654699999,1006.5273054699998
1200,1000.0228654699999,1009.15758547
1260,1000.0228654699999,1010.58952547
1320,1000.0228654699999,1010.38605547
1380,1000.0228654699999,1011.0916654699998
1440,1000.0228654699999,1015.9356254699998
1500,1000.0228654699999,1018.2048354699998
1560,1000.0228654699999,1017.6886454699999
1620,1000.0228654699999,1017.65802547
1680,1000.0228654699999,1017.0589354699998
1740,1000.0228654699999,1015.9782154699998
1800,1000.0228654699999,1014.1700654699999
1860,1000.0228654699999,1012.5763154699999
1920,1000.0228654699999,1014.5806354700001
1980,1000.0228654699999,1018.7771754700001
2040,1000.0228654699999,1016.6559754699998
2100,1000.0228654699999,1015.4096554699998
2160,1000.0228654699999,1013.72511547
2220,1000.0228654699999,1011.48457547
2280,1002.4231987899999,1013.8507654699999
2340,1002.4231987899999,1008.5378487899998
2400,1002.4231987899999,1007.9697987899999
2460,1002.4231987899999,1008.8157687899998
2520,1002.4231987899999,1008.0255387899999
2580,1002.4231987899999,1007.46955879
2640,1002.4231987899999,1006.7056187899999
2700,1002.4231987899999,1004.0373487899999
2760,1002.4231987899999,1004.4734687899999
2820,1002.4231987899999,1004.3141287899998
2880,1002.4231987899999,1004.6638587899998
2940,1002.4231987899999,1006.1267287899998
3000,1002.4231987899999,1007.5365087899999
3060,1002.4231987899999,1006.70319879
3120,1002.4231987899999,1006.4529987899998
3180,1002.4231987899999,1006.3712387899999
3240,1002.4231987899999,1008.0791087899999
3300,1002.4231987899999,1008.3486187899999
3360,1002.4231987899999,1007.7869687899997
3420,1002.4231987899999,1009.5595987899999
3480,1002.4231987899999,1009.32933879
3540,1002.4579049299999,1009.24242879
3600,1051.1166356197077,1000.1819549299998
3660,1051.1166356197077,1065.113539784
3720,1051.1166356197077,1061.2382397840001
3780,1051.1162882757078,1052.5305297840002
3840,1051.3452802601291,1076.94291244
3900,1051.359085274129,1073.6018558060005
3960,1051.376425988129,1061.0566408200004
4020,1048.0467228817765,1042.0439115340005
4080,1047.0605136332874,1054.855606852
4140,1047.0605136332874,1065.1530928640002
4200,1047.0786515932875,1072.9971628639998
4260,1047.0921101152876,1060.694820824
4320,1047.0921101152876,1059.1924793460005
4380,1041.2186811423326,1058.4979793460002
4440,1041.2186811423326,1049.968306822
4500,1046.3772372120172,1068.760026822
4560,1046.3772372120172,1076.5301873220003
4620,1046.3772372120172,1076.845647322
4680,1046.3772372120172,1076.447037322
4740,1046.3772372120172,1078.2968373220003
4800,1046.3772372120172,1078.0543473220005
4860,1046.3772372120172,1076.4171173220002
4920,1046.3772372120172,1075.7425373220003
4980,1046.3772372120172,1074.8718673220003
5040,1046.3772372120172,1077.6577073220003
5100,1046.3772372120172,1078.6697573220006
5160,1046.3772372120172,1079.682857322
5220,1046.3772372120172,1088.6530473220002
5280,1046.3772372120172,1088.3179173220003
5340,1046.3772372120172,1084.9566773220004
5400,1046.3772372120172,1085.5976973220006
5460,1046.3772372120172,1085.4888773220002
5520,1046.3772372120172,1087.0434073220003
5580,1046.3772372120172,1089.1182673220005
5640,1046.3772372120172,1087.313857322
5700,1046.3772372120172,1085.677097322
5760,1046.3772372120172,1085.0807173220005
5820,1046.4089515820172,1085.1503373220003
5880,1046.4089515820172,1075.8155316920001
5940,1046.4089515820172,1072.5984616920002
6000,1046.4089515820172,1074.1456516920002
6060,1046.4089515820172,1072.0971016920005
6120,1046.4089515820172,1074.3836116920004
6180,1046.4089515820172,1075.4652216920003
6240,1046.4089515820172,1072.9095316920002
6300,1046.4089515820172,1073.5454916920005
6360,1046.440085882017,1075.8363616920003
6420,1046.440085882017,1070.171305992
6480,1046.440085882017,1068.310705992
6540,1046.440085882017,1068.935685992
6600,1046.440085882017,1070.3293959920002
6660,1057.2654667903903,1062.733005992
6720,1057.2825539303903,1065.4846717800003
6780,1057.3122752663905,1060.7313146200004
6840,1057.3122752663905,1062.7300502560004
6900,1057.3122752663905,1062.9879302560003
6960,1057.3122752663905,1064.0949402560007
7020,1057.3122752663905,1066.6103202560005
7080,1057.3122752663905,1066.6168402560006
7140,1057.3122752663905,1068.3402202560005
7200,1057.3122752663905,1068.7723702560006
7260,1057.3122752663905,1066.6238202560005
7320,1057.3122752663905,1063.5725302560004
7380,1057.3122752663905,1064.9191602560004
7440,1057.3122752663905,1064.1884202560004
7500,1057.3694500063907,1061.4463802560006
7560,1057.428855686391,1054.4489249960009
7620,1057.4284715463912,1048.303690676001
7680,1057.4284715463912,1053.022456536001
7740,1057.4284715463912,1054.4220765360014
7800,1057.4284715463912,1054.6151865360014
7860,1057.4284715463912,1057.1764865360012
7920,1057.4284715463912,1058.7796265360012
7980,1057.4284715463912,1056.953866536001
8040,1057.4284715463912,1058.4092565360008
8100,1057.4284715463912,1065.188386536001
8160,1057.4284715463912,1064.6149665360008
8220,1057.4284715463912,1063.2984665360011
8280,1057.4284715463912,1065.2410665360012
8340,1057.4284715463912,1062.7473665360012
8400,1057.4284715463912,1060.6527065360012
8460,1057.4284715463912,1059.3685365360009
8520,1057.4284715463912,1059.163026536001
8580,1057.4280494663913,1057.3263665360014
8640,1057.4280494663913,1058.8034544560014
8700,1057.4280494663913,1061.8544444560014
8760,1057.4280494663913,1059.001044456001
8820,1057.4280494663913,1058.0753944560013
8880,1057.4280494663913,1059.2527844560009
8940,1057.4280494663913,1062.7613144560014
9000,1057.4280494663913,1064.4485744560013
9060,1057.4280494663913,1063.363054456001
9120,1057.4280494663913,1061.9340544560011
9180,1057.4280494663913,1057.7791644560011
9240,1057.4280494663913,1054.504854456001
9300,1057.4280494663913,1056.6518644560012
9360,1057.4280494663913,1060.7260744560012
9420,1057.4280494663913,1061.926594456001
9480,1057.4280494663913,1062.011204456001
9540,1057.4280494663913,1059.8292344560011
9600,1057.441665026391,1055.255224456001
9660,1057.441665026391,1050.5107900160008
9720,1057.441665026391,1053.6147800160009
9780,1057.441665026391,1055.073130016001
9840,1057.441665026391,1056.251540016001
9900,1057.441665026391,1053.9045300160014
9960,1056.1785890985038,1050.6510600160009
10020,1056.1785890985038,1044.2364262020014
10080,1056.209030598504,1044.1480662020017
10140,1056.209030598504,1040.6662077020017
10200,1058.4214139425683,1041.1635077020014
10260,1058.4486144745686,1030.9142369960018
10320,1055.8735184827829,1031.1757675280019
10380,1055.8735184827829,1048.3085110200018
10440,1061.0609125089463,1052.3004110200018
10500,1061.0609125089463,1056.9905483200018
10560,1061.0609125089463,1057.002028320002
10620,1061.0609125089463,1057.454328320002
10680,1061.0609125089463,1055.364228320002
10740,1061.0609125089463,1060.4133883200018
10800,1061.0609125089463,1064.0309483200022
10860,1061.0609125089463,1066.107248320002
10920,1061.0609125089463,1064.108708320002
10980,1061.0609125089463,1070.4657083200016
11040,1061.0609125089463,1069.1861083200022
11100,1061.0609125089463,1067.338788320002
11160,1061.0609125089463,1073.3226283200022
11220,1061.0609125089463,1078.9665483200017
11280,1081.152926320002,1093.5632483200022
11340,1081.139752880002,1086.1944263200019
11400,1081.139752880002,1088.3103728800022
11460,1081.139752880002,1090.949912880002
11520,1081.139752880002,1089.770392880002
11580,1081.139752880002,1087.093252880002
11640,1081.139752880002,1086.168272880002
11700,1081.139752880002,1088.7207128800019
11760,1081.139752880002,1088.885512880002
11820,1081.139752880002,1097.462012880002
11880,1081.139752880002,1092.3654128800022
11940,1081.139752880002,1094.3719728800022
12000,1081.139752880002,1096.0477328800023
12060,1085.866603700002,1091.666452880002
12120,1085.866603700002,1087.2920837000022
12180,1085.620292880002,1087.640023700002
12240,1085.669357700002,1090.562372880002
12300,1085.669357700002,1085.932897700002
12360,1085.669357700002,1090.4111577000017
12420,1085.669357700002,1084.7427377000022
12480,1085.669357700002,1086.779057700002
12540,1085.669357700002,1086.0832977000018
12600,1085.669357700002,1089.813157700002
12660,1085.669357700002,1092.7807977000018
12720,1085.669357700002,1089.7162777000021
12780,1085.669357700002,1086.9699177000023
12840,1085.669357700002,1092.372717700002
12900,1085.669357700002,1097.201837700002
12960,1085.669357700002,1099.328537700002
13020,1085.669357700002,1103.846177700002
13080,1085.669357700002,1107.956677700002
13140,1085.669357700002,1104.8572777000018
13200,1100.098587060002,1110.000617700002
13260,1100.085310380002,1105.3912470600023
13320,1100.085310380002,1106.064590380002
13380,1100.085310380002,1103.8761103800023
13440,1100.085310380002,1102.075750380002
13500,1100.085310380002,1100.389110380002
13560,1100.085310380002,1107.899690380002
13620,1100.085310380002,1105.1038703800018
13680,1099.9953026060023,1104.058990380002
13740,1100.0168397660022,1093.4816926060023
13800,1100.0021557660023,1096.6390497660025
13860,1107.6339874099745,1090.5027857660023
13920,1107.6545718099744,1114.4812882460026
13980,1107.6754320699745,1112.9388660260022
14040,1107.6754320699745,1117.2691662860022
14100,1107.6754320699745,1120.2478462860022
14160,1107.6754320699745,1122.6111062860023
14220,1107.6754320699745,1122.4446862860023
14280,1107.6754320699745,1146.4101462860026
14340,1128.8483746060024,1155.0581262860023
14400,1128.8483746060024,1148.8939246060022
14460,1128.8483746060024,1150.0936046060024
14520,1128.8483746060024,1148.3890646060024
14580,1128.8483746060024,1149.1584846060025
14640,1128.8483746060024,1150.729424606002
14700,1128.8480728060024,1152.0972446060025
14760,1128.8964916060024,1149.1594628060025
14820,1128.8964916060024,1148.7430016060025
14880,1128.8964916060024,1154.0481216060023
14940,1128.8964916060024,1155.2461416060023
15000,1128.8964916060024,1156.0059216060024
15060,1128.8964916060024,1159.1154816060027
15120,1128.8964916060024,1159.1748416060025
15180,1128.8964916060024,1165.2664416060024
15240,1128.8964916060024,1160.7170016060027
15300,1139.7939360900025,1163.6477416060025
15360,1139.7939360900025,1157.2630760900026
15420,1139.8406645500024,1152.4611060900024
15480,1139.8406645500024,1153.2161445500024
15540,1139.8406645500024,1154.6383545500023
15600,1139.8406645500024,1157.2302945500026
15660,1139.8406645500024,1152.7693045500025
15720,1139.8406645500024,1151.854134550002
15780,1139.8406645500024,1152.0497945500024
15840,1139.8406645500024,1154.9377445500024
15900,1139.8406645500024,1152.8364945500025
15960,1139.8406645500024,1151.2673845500024
16020,1139.8406645500024,1151.243394550002
16080,1139.8406645500024,1148.0240045500022
16140,1139.8406645500024,1148.5900545500026
16200,1139.8406645500024,1151.0801345500024
16260,1139.8406645500024,1151.5114745500027
16320,1139.8403598300024,1149.2506945500024
16380,1139.8895533100024,1148.5399898300025
16440,1139.8895533100024,1149.9882433100024
16500,1139.8895533100024,1150.0395433100027
16560,1139.9123565500024,1150.5760333100025
16620,1139.9349658100023,1148.8683265500026
16680,1139.9349658100023,1149.4777958100026
16740,1139.9797957500023,1150.5778658100023
16800,1140.0237482900025,1141.8065857500026
16860,1139.9859258140025,1138.6180982900025
16920,1139.9859258140025,1142.2162458140024
16980,1139.9859258140025,1140.4590658140025
17040,1141.8158942346583,1141.1694858140027
17100,1141.8372410746586,1149.3816758740027
17160,1147.5037871096017,1140.1417227140028
17220,1147.5035123896016,1145.0773885980027
17280,1147.5248419896016,1148.8153238780028
17340,1147.5245719296015,1143.7752834780024
17400,1147.5245719296015,1142.7708934180023
17460,1147.5453392896015,1144.1958434180021
17520,1147.5453392896015,1144.2725207780027
17580,1147.5453392896015,1145.828960778002
17640,1147.5453392896015,1148.0270307780024
17700,1147.5453392896015,1148.1170407780023
17760,1147.5453392896015,1147.5806507780026
17820,1147.5453392896015,1148.2920407780025
17880,1147.5453392896015,1145.1543007780024
17940,1147.5453392896015,1146.4683107780022
18000,1147.5453392896015,1145.5286507780027
18060,1147.5453392896015,1146.0859207780027
18120,1147.5453392896015,1144.8100907780026
18180,1147.5453392896015,1145.4415907780024
18240,1147.5453392896015,1150.1502707780023
18300,1147.5453392896015,1149.9360907780024
18360,1147.5453392896015,1152.5512607780029
18420,1147.5453392896015,1159.5301807780024
18480,1147.5453392896015,1161.3340607780026
18540,1147.5453392896015,1165.2234407780024
18600,1147.5453392896015,1163.0274207780024
18660,1147.5453392896015,1164.4201407780022
18720,1147.5453392896015,1162.3849407780026
18780,1147.5453392896015,1157.3654307780023
18840,1147.5453392896015,1159.8445207780023
