,minute,symbol,pnl,fee_paid,balance,qty,price,psize,pprice,type
0,2,BTCUSDT,0.0,-0.19487210000000002,999.8051279,0.023,42363.5,0.023,42363.5,entry_initial_normal_long
1,16,BTCUSDT,4.4965,-0.1957714,1004.1058565,-0.023,42559.0,0.0,42363.5,close_trailing_long
2,19,BTCUSDT,0.0,-0.19557958000000003,1003.91027692,0.023,42517.3,0.023,42517.3,entry_initial_normal_long
3,97,BTCUSDT,4.774799999999966,-0.19653454,1008.48854238,-0.023,42724.9,0.0,42517.3,close_trailing_long
4,161,BTCUSDT,0.0,-0.19591078,1008.2926316,0.023,42589.3,0.023,42589.3,entry_initial_normal_long
5,661,BTCUSDT,4.372299999999966,-0.19678524,1012.46814636,-0.023,42779.4,0.0,42589.3,close_trailing_long
6,692,BTCUSDT,0.0,-0.19639378000000002,1012.27175258,0.023,42694.3,0.023,42694.3,entry_initial_normal_long
7,972,BTCUSDT,4.383799999999966,-0.19727054000000002,1016.45828204,-0.023,42884.9,0.0,42694.3,close_trailing_long
8,980,BTCUSDT,0.0,-0.19688551999999998,1016.26139652,0.023,42801.2,0.023,42801.2,entry_initial_normal_long
9,1088,BTCUSDT,5.7017000000000335,-0.19802586,1021.76507066,-0.023,43049.1,0.0,42801.2,close_trailing_long
10,2144,BTCUSDT,0.0,-0.19931824,1021.56575242,0.022,45299.6,0.022,45299.6,entry_initial_normal_long
11,2166,BTCUSDT,5.555,-0.20042923999999998,1026.92032318,-0.022,45552.1,0.0,45299.6,close_trailing_long
12,2211,BTCUSDT,0.0,-0.19957036,1026.72075282,0.022,45356.9,0.022,45356.9,entry_initial_normal_long
13,2238,BTCUSDT,4.595800000000032,-0.20048952,1031.1160633,-0.022,45565.8,0.0,45356.9,close_trailing_long
14,2315,BTCUSDT,0.0,-0.20003587999999997,1030.9160274199999,0.022,45462.7,0.022,45462.7,entry_initial_normal_long
15,3602,BTCUSDT,0.0,-0.46859340000000005,1030.44743402,0.055,42599.4,0.077,43417.485714285714,entry_trailing_normal_long
16,3610,BTCUSDT,0.0,-1.3380411,1029.10939292,0.165,40546.7,0.242,41460.13181818182,entry_trailing_cropped_long
17,3612,BTCUSDT,26.003509090909155,-0.9670757600000002,1054.145826250909,-0.116,41684.3,0.126,41460.13181818182,close_trailing_long
18,3615,BTCUSDT,57.13184545454551,-0.9898854800000001,1110.2877862254545,-0.118,41944.3,0.008,41460.13181818182,close_trailing_long
19,3616,BTCUSDT,0.0,-0.14411274000000002,1110.1436734854544,0.017,42386.1,0.025,42089.790181818185,entry_initial_partial_long
20,3618,BTCUSDT,8.857745454545329,-0.2122205,1118.7891984399998,-0.025,42444.1,0.0,42089.790181818185,close_trailing_long
21,3619,BTCUSDT,0.0,-0.22023768000000002,1118.5689607599998,0.026,42353.4,0.026,42353.4,entry_initial_normal_long
22,3653,BTCUSDT,4.916599999999962,-0.221221,1123.2643397599998,-0.026,42542.5,0.0,42353.4,close_trailing_long
23,3654,BTCUSDT,0.0,-0.22165519999999997,1123.0426845599998,0.026,42626.0,0.026,42626.0,entry_initial_normal_long
