,balance,equity
0,999.9840586,1000.0
60,999.97935706,999.5998586000001
120,999.9761055199999,1000.31815706
180,999.9740409199999,1000.1470055199999
240,999.9719921799999,999.4629409199999
300,999.9719921799999,999.1351921799999
360,999.9719921799999,998.94119218
420,999.9719921799999,999.06019218
480,999.9719921799999,998.96399218
540,999.9719921799999,998.9299921799998
600,999.9719921799999,999.4017921799999
660,999.9719921799999,999.3372921799998
720,999.9719921799999,999.4083921799999
780,999.9719921799999,999.7426921799998
840,999.9719921799999,999.6318921799999
900,999.9719921799999,999.1556921799998
960,999.9719921799999,999.6526921799999
1020,999.9719921799999,999.62809218
1080,999.9719921799999,999.90959218
1140,999.9719921799999,1000.1631921799998
1200,999.9719921799999,1000.5811921799999
1260,999.9719921799999,1000.3200921799998
1320,999.9719921799999,1000.3677921799999
1380,999.9719921799999,1000.37479218
1440,999.9719921799999,1000.7620921799999
1500,999.9719921799999,1000.9252921799999
1560,999.9719921799999,1000.91199218
1620,999.9719921799999,1001.1013921799998
1680,999.9719921799999,1001.0996921799999
1740,999.9719921799999,1001.2629921799999
1800,999.9719921799999,1000.95859218
1860,999.9719921799999,1001.0135921799999
1920,999.9719921799999,1001.4422921799999
1980,999.9719921799999,1001.2708921799998
2040,999.9719921799999,1002.32709218
2100,999.9719921799999,1002.26209218
2160,999.9719921799999,1002.1225921799999
2220,999.9719921799999,1001.88569218
2280,999.9719921799999,1001.9292921799998
2340,1000.0699143199998,1000.88989218
2400,1000.0699143199998,1000.8169143199999
2460,1000.0699143199998,1000.9839143199999
2520,1000.0699143199998,1000.5700143199998
2580,1000.0699143199998,1000.79721432
2640,1000.0699143199998,1000.8140143199997
2700,1000.0699143199998,1000.6333143199997
2760,1000.0699143199998,1000.9180143199999
2820,1000.0699143199998,1001.0139143199999
2880,1000.0699143199998,1000.8721143199998
2940,1000.0699143199998,1000.7262143199997
3000,1000.0699143199998,1000.8425143199999
3060,1000.0699143199998,1000.6924143199999
3120,1000.0699143199998,1000.5115143199998
3180,1000.0699143199998,1000.2770143199998
3240,1000.0699143199998,1000.5022143199998
3300,1000.0699143199998,1000.6345143199999
3360,1000.0699143199998,1000.2387143199999
3420,1000.0699143199998,1000.5014143199999
3480,1000.0699143199998,1000.3675143199998
3540,996.0957232799998,999.8249143199998
3600,987.3162704828968,998.4471232799997
3660,1007.068487334467,1235.0562785199998
3720,1057.3696456921532,1209.6235687599997
3780,1057.3696456921532,1167.1281284400002
3840,1057.3696456921532,1203.7373284399998
3900,1056.366019858765,1185.9653284400001
3960,1056.366019858765,1170.0072474
4020,1056.366019858765,1164.8358474000001
4080,1056.365719458765,1168.8960474000003
4140,1056.365562458765,1183.4973470000002
4200,1056.364946158765,1189.7731900000003
4260,1056.529344658765,1180.3852737000002
4320,1056.5289704987651,1176.5517722000004
4380,1054.279339678765,1187.2721980400004
4440,1054.279339678765,1175.2541672200002
4500,1054.279339678765,1197.86986722
4560,1054.279339678765,1197.1232672200001
4620,1054.279339678765,1192.2879672200002
4680,1054.277898898765,1196.2295672200003
4740,1054.275745298765,1193.6973264400003
4800,1054.5387384687651,1179.7793228400003
4860,1054.5382473087652,1172.7732160100004
4920,1054.5382473087652,1175.0041248500004
4980,1054.5382473087652,1173.6579248500004
5040,1054.5382473087652,1175.8224248500005
5100,1054.5382473087652,1181.5753248500005
5160,1054.5377412487653,1184.9105248500007
5220,1054.5357167687653,1204.4809187900003
5280,1054.5327356087653,1211.1342943100005
5340,1054.5327356087653,1201.3313131500004
5400,1054.5327356087653,1208.2217131500006
5460,1054.5327356087653,1212.2445131500006
5520,1054.5327356087653,1227.1515131500005
5580,1054.5327356087653,1234.9719131500003
5640,1054.5327356087653,1229.3981131500007
5700,1054.5327356087653,1223.6047131500006
5760,1054.5327356087653,1225.6853131500004
5820,1195.1588149900003,1218.5877131500004
5880,1195.1582916500004,1194.1086149900004
5940,1195.1582916500004,1194.0702916500004
6000,1195.1582916500004,1194.2732416500003
6060,1195.1582916500004,1194.2952916500005
6120,1195.1582916500004,1194.3001916500007
6180,1195.1582916500004,1193.9772416500005
6240,1195.1582916500004,1193.9249916500003
6300,1195.1582916500004,1193.2800416500006
6360,1195.1582916500004,1192.9113916500005
6420,1195.1582916500004,1191.7486916500004
6480,1195.1582916500004,1191.97154165
6540,1195.1582916500004,1193.3441416500004
6600,1195.1582916500004,1193.8906916500005
6660,1195.1582916500004,1192.3029916500006
6720,1195.1582916500004,1192.6047416500005
6780,1195.1582916500004,1192.5703916500001
6840,1195.1582916500004,1192.5856916500004
6900,1195.1582916500004,1192.9384916500005
6960,1195.1582916500004,1193.0104916500004
7020,1195.1582916500004,1193.7878916500003
7080,1195.1582916500004,1193.4867916500002
7140,1195.1582916500004,1192.2230916500007
7200,1195.1582916500004,1192.1152416500004
7260,1195.1582916500004,1192.0646416500003
7320,1195.1582916500004,1192.3312416500003
7380,1195.1582916500004,1191.8403416500003
7440,1195.1582916500004,1192.7879916500003
7500,1189.2116555400003,1191.7737916500005
7560,1189.2047904500005,1190.8929555400002
7620,1189.2047904500005,1190.1107404500003
7680,1189.2047904500005,1190.9689404500002
7740,1189.2047904500005,1191.3670404500006
7800,1189.2047904500005,1191.8182404500003
7860,1190.5391496900002,1191.8250404500006
7920,1190.5361745300002,1193.4548496900002
7980,1190.5336972300001,1194.07577453
8040,1190.5336972300001,1194.15794723
8100,1190.5336972300001,1193.63629723
8160,1190.5336972300001,1193.0375972299998
8220,1190.5336972300001,1193.0505472300001
8280,1190.5336972300001,1193.6584972300002
8340,1190.5336972300001,1193.8449472300001
8400,1190.5336972300001,1193.39809723
8460,1190.5336972300001,1193.31399723
8520,1190.5336972300001,1194.06374723
8580,1190.5336972300001,1194.1721972300002
8640,1190.5336972300001,1193.9904972300003
