,minute,symbol,pnl,fee_paid,balance,qty,price,psize,pprice,type
0,2,SOLUSDT,0.0,-0.004080600000000001,999.9959194,0.2,102.015,0.2,102.015,entry_initial_normal_long
1,2,1000RATSUSDT,0.0,-0.00064886,999.9952705400001,-10.0,0.32443,-10.0,0.32443,entry_initial_normal_short
2,2,SOLUSDT,0.0,-0.0020403000000000005,999.9932302400001,-0.1,102.015,-0.1,102.015,entry_initial_normal_short
3,3,1000PEPEUSDT,0.0,-0.0038701260000000006,999.9893601140001,14900.0,0.0012987,14900.0,0.0012987,entry_initial_normal_long
4,3,1000RATSUSDT,0.0,-0.00389964,999.9854604740001,60.0,0.32497,60.0,0.32497,entry_initial_normal_long
5,3,NEARUSDT,0.0,-0.00390186,999.981558614,5.3,3.681,5.3,3.681,entry_initial_normal_long
6,4,INJUSDT,0.0,-0.0035960500000000004,999.977962564,0.5,35.9605,0.5,35.9605,entry_initial_normal_long
7,18,1000RATSUSDT,0.0,-0.00064234,999.977320224,-10.0,0.32117,-20.0,0.3228,entry_trailing_normal_short
8,28,1000RATSUSDT,0.0,-0.0006395400000000001,999.976680684,-10.0,0.31977,-30.0,0.32178999999999996,entry_trailing_normal_short
9,46,NEARUSDT,0.0,-0.0016517600000000002,999.9750289240001,2.2,3.754,7.5,3.7024133333333333,entry_trailing_cropped_long
10,77,1000RATSUSDT,0.0,-0.0019593600000000003,999.9730695640001,30.0,0.32656,90.0,0.3255,entry_trailing_cropped_long
11,99,SOLUSDT,0.0,-0.0020890600000000002,999.9709805040001,0.1,104.453,0.3,102.82766666666669,entry_trailing_cropped_long
12,124,1000RATSUSDT,0.0,-0.0012964400000000003,999.969684064,-20.0,0.32411,-50.0,0.32271799999999995,entry_trailing_normal_short
13,167,1000RATSUSDT,0.0,-0.00194046,999.967743604,-30.0,0.32341,-80.0,0.3229775,entry_trailing_normal_short
14,196,1000RATSUSDT,0.0,-0.0006421200000000001,999.9671014840001,-10.0,0.32106,-90.0,0.3227644444444444,entry_trailing_cropped_short
15,197,SOLUSDT,0.0,-0.0020646,999.965036884,-0.1,103.23,-0.2,102.6225,entry_trailing_normal_short
16,257,SOLUSDT,0.0,-0.0020487400000000003,999.9629881440001,-0.1,102.437,-0.3,102.56066666666668,entry_trailing_normal_short
17,314,1000PEPEUSDT,0.0,-0.0017261880000000002,999.961261956,6700.0,0.0012882,21600.0,0.0012954430555555557,entry_trailing_cropped_long
18,576,INJUSDT,0.0,-0.00216135,999.959100606,0.3,36.0225,0.8,35.98375,entry_trailing_cropped_long
19,2336,NEARUSDT,1.8869000000000014,-0.0059310000000000005,1001.840069606,-7.5,3.954,0.0,3.7024133333333333,close_trailing_long
20,2338,NEARUSDT,0.0,-0.003886680000000001,1001.836182926,4.9,3.966,4.9,3.966,entry_initial_normal_long
21,2357,1000RATSUSDT,0.07739999999999747,-0.0058744800000000005,1001.907708446,-90.0,0.32636,0.0,0.3255,close_trailing_long
22,2358,1000RATSUSDT,0.0,-0.003911400000000001,1001.903797046,60.0,0.32595,60.0,0.32595,entry_initial_normal_long
23,2358,INJUSDT,1.350999999999999,-0.006027600000000001,1003.248769446,-0.8,37.6725,0.0,35.98375,close_trailing_long
24,2359,INJUSDT,0.0,-0.0037680500000000002,1003.245001396,0.5,37.6805,0.5,37.6805,entry_initial_normal_long
25,2374,1000RATSUSDT,0.0,-0.0019862400000000002,1003.2430151560001,30.0,0.33104,90.0,0.32764666666666664,entry_trailing_cropped_long
26,2429,INJUSDT,0.0,-0.0015379200000000001,1003.241477236,0.2,38.448,0.7,37.89978571428572,entry_trailing_cropped_long
27,2433,NEARUSDT,0.0,-0.0017296400000000004,1003.239747596,2.2,3.931,7.1,3.9551549295774655,entry_trailing_cropped_long
28,2502,SOLUSDT,1.2264999999999928,-0.00641496,1004.459832636,-0.3,106.916,0.0,102.82766666666669,close_trailing_long
29,2503,SOLUSDT,0.0,-0.004297560000000001,1004.4555350759999,0.2,107.439,0.2,107.439,entry_initial_normal_long
30,2993,SOLUSDT,0.0,-0.00217188,1004.4533631959999,0.1,108.594,0.3,107.82400000000001,entry_trailing_cropped_long
31,3136,INJUSDT,0.0,-0.00074268,1004.4526205159999,0.1,37.134,0.8,37.8040625,entry_trailing_cropped_long
32,3549,1000RATSUSDT,-0.9725999999999968,-0.00570312,1003.474317396,-90.0,0.31684,0.0,0.32764666666666664,close_trailing_long
33,3550,1000RATSUSDT,0.0,-0.00380196,1003.4705154359999,60.0,0.31683,60.0,0.31683,entry_initial_normal_long
34,3598,1000RATSUSDT,-1.7075999999999991,-0.00346044,1001.7594549959999,-60.0,0.28837,0.0,0.31683,close_trailing_long
